??????
40231
36001
32161
30192
27469
24490
23109
22087
20945
19276
16715
14345
12787
11548
10097
8056
6414
5123
4266
3318
2613
1832
1303
?????
43974
39806
36269
33387
30953
26316
25083
22903
22598
20722
18265
15632
14236
13075
11454
9228
7438
5736
4550
3817
3058
1902
1248
?????????????
39270
33872
30072
27962
25519
22743
21202
20090
19456
18011
16010
13823
12051
10872
9732
7805
6147
4914
3955
3148
2568
1870
1365
???????????.
65864
59098
52430
47234
42315
37368
33837
32902
32397
30542
26789
24202
21208
19019
16665
13534
11111
9392
7354
5930
4692
3147
2232
????????????????.
64417
57979
52779
49435
45427
40352
38118
35592
33125
30205
26374
22882
20475
18599
???????????????.
47780
42096
38885
36093
33630
29599
27493
25499
24576
22736
19522
17023
16582
14096
12340
9867
8158
6884
5495
4432
3530
2661
1899
????????????
49460
42848
38738
36465
33753
30358
28108
25928
24988
22377
20265
18397
16378
14951
14084
11027
8632
6612
5389
4449
3718
2837
1933
???????????????.
47638
41775
37442
34615
31852
29066
27091
25456
23895
22221
20002
17668
15938
14061
13509
10480
8337
6775
5284
4469
3493
2505
1717
???????????.
40804
35582
31946
29853
27251
24743
22923
21679
20911
18974
16530
13912
12326
10951
10220
8190
6534
5235
4196
3316
2613
1817
1213
???????
53495
45610
41800
39115
36047
32237
29969
28386
27739
26038
23101
19924
18000
15976
14417
11529
9190
7651
6163
5011
3941
2735
1924
???????????????.
45677
39550
35240
33076
30460
26975
25135
23877
22581
20927
18343
16314
14484
13131
12126
9688
7435
6067
4751
4025
3166
2292
1573
????????????????.
44242
39031
35962
33371
30894
27962
26554
24361
22828
21046
18584
16192
14856
13257
12002
9770
7747
6160
4885
3989
3133
2393
1690
??????????????.
53580
45463
42775
39116
35497
31651
29303
27445
26749
25127
22649
20250
18536
16566
16115
12914
10667
8828
6971
5498
4497
3511
2562
??????????????.
46277
40830
36317
33690
31207
28007
26335
24906
24001
21825
19538
16055
14337
12786
11490
8731
6750
5382
4341
3549
2580
1912
1376
????????
35082
31859
31342
26835
25155
21941
20629
19239
18194
16835
13660
11236
10244
9125
7595
5696
4530
3660
3000
2409
1834
1172
879
???????????
56957
50075
46237
42400
39242
34409
32165
30896
29439
27358
